"name","census_count"
"monalisa",787
"perry",43527
"pricilla",2099
"randall",159376
"sigrid",889
"stacia",6105
"sunny",5230
"terryl",986
"walter",163980
"wonda",1265
"alethea",2932
"bethel",869
"caroll",731
"casandra",8702
"debroah",1410
"dyanne",582
"erika",72350
"florene",451
"francesca",9199
"henry",148947
"kandace",3844
"mammie",320
"margaretta",562
"marijo",898
"neta",582
"queenie",636
"romaine",1033
"sharolyn",950
"sheena",19809
"sherida",764
"valinda",1213
"verona",620
"adelita",1059
"arnita",1350
"bari",1454
"berniece",437
"caron",2754
"delories",321
"doretta",1269
"eleanora",531
"elmira",639
"erlene",462
"fredda",467
"gwynne",907
"jeanna",7044
"larita",1170
"laurice",1004
"londa",1426
"marge",710
"marvis",1040
"michelene",566
"neoma",317
"princess",4970
"raelene",1451
"randie",1504
"sarita",3454
"shanna",23572
"vergie",411
"vilma",1833
"wenda",768
"annelle",269
"arletta",676
"berna",408
"chrystal",12600
"dahlia",1444
"evelina",1099
"inell",321
"jacki",3077
"janise",1241
"jay",122216
"julene",1176
"kara",58337
"laquita",4837
"louanne",1153
"mark",1162234
"maryalice",941
"micaela",3061
"migdalia",3864
"myrtice",373
"nella",584
"ray",71793
"ricky",190901
"roy",140633
"teresita",1986
"tillie",772
"tomasa",781
"vina",803
"wanita",868
"zola",647
"zora",592
"adella",872
"alethia",1146
"alexandria",18007
"belia",874
"bronwyn",1626
"catheryn",689
"christopher",1406135
"corene",776
"dede",1431
"earleen",405
"elna",369
"elodia",574
"elvera",395
"glena",380
"glenn",135473
"gwyn",1575
"jeana",6051
"jonell",1397
"kandis",1966
"kenna",2967
"leda",1030
"madelon",259
"marijane",541
"marilynne",226
"marylynn",1199
"maxcine",330
"merilee",854
"nancye",310
"nydia",2117
"sandie",1925
"sharion",559
"soledad",1247
"stephen",595129
"theo",1943
"tonda",2254
"vanda",862
"veta",522
"wilhelmenia",241
"alda",696
"alyson",11679
"andree",1535
"annabel",1849
"arcelia",901
"arlena",897
"arlette",1218
"berlinda",841
"blondell",396
"camelia",1375
"candi",6684
"candida",2573
"dotty",584
"elease",553
"florinda",869
"frank",284532
"gabrielle",22023
"gerrie",705
"jacqualyn",588
"janiece",1448
"jeryl",1338
"joeann",557
"johnie",3175
"kari",51041
"lane",9687
"lauralee",1324
"laverna",668
"lorenza",2784
"louanna",441
"marolyn",391
"maxie",1918
"michaele",1233
"nicola",4515
"pamila",641
"ranae",1808
"renea",3648
"sallyann",467
"santos",7307
"stephenie",4492
"teryl",832
"tricia",37257
"vonna",501
"alba",1937
"christena",1135
"clarinda",668
"dannie",5465
"deborha",1066
"delorse",544
"desiree",44625
"dorathy",252
"floria",450
"frederica",1062
"idell",313
"jaye",2350
